Patsy T. Mink Gender Equity in Education Act of 2017|115|House|LOUISE SLAUGHTER(D) |ASSUMING FIRST SPONSORSHIP - Ms. Matsui asked unanimous consent that she may hereafter be considered as the primary sponsor of H.R. 3828, a bill originally introduced by Representative Slaughter, for the purpose of adding cosponsors and requesting reprintings under clause 7 of rule XII.|2018-06-14|https://www.congress.gov/115/bills/hr3828/BILLS-115hr3828ih.pdf
To direct the Secretary of Veterans Affairs to increase the number of peer-to-peer counselors providing counseling for women veterans, and for other purposes.|115|House|Mike Coffman(R) |Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.|2018-06-14|https://www.congress.gov/115/bills/hr4635/BILLS-115hr4635rfs.pdf
A resolution congratulating the Florida State University Seminoles softball team for winning the 2018 National Collegiate Athletic Association Women's College World Series.|115|Senate|Marco Rubio(R) |Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S3861; text: CR S3764)|2018-06-12|https://www.congress.gov/115/bills/sres543/BILLS-115sres543ats.pdf
To amend title XIX of the Social Security Act to provide for Medicaid coverage protections for pregnant and post-partum women while receiving inpatient treatment for a substance use disorder, and for other purposes.|115|House|Bill Foster(D) |Placed on the Union Calendar, Calendar No. 565.|2018-06-12|https://www.congress.gov/115/bills/hr5789/BILLS-115hr5789rh.pdf
Expressing the sense of the House of Representatives regarding the need for State legislatures to pass comprehensive sexual assault kit reforms by 2020.|115|House|David Joyce(R) |Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.|2018-06-05|https://www.congress.gov/115/bills/hres909/BILLS-115hres909ih.pdf
MOMMA's Act|115|House|Robin Kelly(D) |Referred to the House Committee on Energy and Commerce.|2018-05-25|https://www.congress.gov/115/bills/hr5977/BILLS-115hr5977ih.pdf
A resolution expressing the sense of the Senate that politicians should not interfere with a woman's personal health care decisions or attempt to prevent providers from offering their full medical recommendations to their patients.|115|Senate|Patty Murray(D) |Referred to the Committee on Health, Education, Labor, and Pensions. (text of measure as introduced: CR S2938-2939)|2018-05-24|https://www.congress.gov/115/bills/sres526/BILLS-115sres526is.pdf
Women Veterans Access to Quality Care Act of 2018|115|House|William Keating(D) |Referred to the Subcommittee on Health.|2018-05-24|https://www.congress.gov/115/bills/hr5966/BILLS-115hr5966ih.pdf
Military Sexual Assault Transparency and Accountability Act|115|House|Ann Kuster(D) |Referred to the Subcommittee on Military Personnel.|2018-05-24|https://www.congress.gov/115/bills/hr5940/BILLS-115hr5940ih.pdf
Airborne Hazards and Open Burn Pit Registry Improvement Act|115|House|Carol Shea-Porter(D) |Referred to the Subcommittee on Military Personnel.|2018-05-23|https://www.congress.gov/115/bills/hr5920/BILLS-115hr5920ih.pdf
